Index,Address,FLAG,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract),total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name,ERC20_most_sent_token_type,ERC20_most_rec_token_type
1,0x0020731604c882cf7bf8c444be97d17b19ea4316,1,1457.31,34.12,4815.43,3,13,0,10,3,1,2.501052,1.348445,1.000875,11.277872,5.842916,0,0,0,16,17.52874745,17.52978485,0,0.0010374,,,,,,,,,,,,,,,,,,,,,,,,,
2,0x002bf459dc58584d58886169ea0e80f3ca95ffaf,1,3976.5,834.77,9622.53,2,2,0,1,2,0.586269,0.947515,0.766892,0.585408,0.947284,0.766346,0,0,0,4,1.53269261,1.53378461,0,0.001092,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
3,0x002f0c8119c16d310342d869ca8bf6ace34d9c39,1,112.9,31.87,321.42,2,3,0,3,1,0.00102,0.8178,0.439607,0.50039,0.817506,0.658948,0,0,0,5,1.317896,1.31882,0,0.000924,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
4,0x0059b14e35dab1b4eee1e2926c7a5660da66f747,1,2300.37,65.1,73091,29,98,0,89,26,0.000784,15.729068,0.383225,0,36.7,1.314957,0,0,0,127,38.13376706,37.55604606,0,-0.577721002,96,142677.3829,120354.7684,0,6,55,0,37,0,0,0,0,0,26436.081,1954.484697,0,81324.0746,5232.816018,0,0,0,22,37,OCoin,OCoin
5,0x005b9f4516f8e640bbe48136901738b323c53b00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
6,0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,1,59129.36,0,118258.72,2,1,0,1,2,0.68,0.68,0.68,0.0033,0.676,0.33965,0,0,0,3,0.6793,0.68,0,0.0007,1,14,0,0,0,1,0,1,0,0,0,0,14,14,14,0,0,0,0,0,0,0,1, ,ELF
7,0x0084515449b037205a33d6d3940a5684126aa4b5,1,1819.9,638.12,8744.77,2,8,0,7,2,0,1.01947,0.343872,0.74909,2.000162,1.374626,0,0,0,10,2.74925268,2.75097468,0,0.001722,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
8,0x008f3db10374099a11ec263415cb88c952abeedc,1,6556.08,255.89,53728.05,8,5,0,4,8,0.0001,50,23.40002,11.996572,15,14.624572,0,0,0,13,116.996572,117.0001,0,0.003528,1,1386.486552,0,0,0,1,0,1,0,0,0,0,1386.486552,1386.486552,1386.486552,0,0,0,0,0,0,0,1, ,XENON
9,0x00c8bd3cd1e649a3fd2a89b3edc1c2ab631227a0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
10,0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,1,0,0,0,0,1,0,1,0,0.000683,0.000683,0.000683,0,0,0,0,0,0,1,0,0.000683003,0,0.000683003,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
11,0x00e01a648ff41346cdeb873182383333d2184dd1,1,28504.65,104.43,429867.15,15,22,0,21,13,0.425099,49.999314,9.10075,0,25,13.33,0,0,0,37,199.95,200.2164943,0,0.26649427,50,29853.23469,208.7350508,0,1,35,0,30,0,0,0,0,0,20180.614,635.175206,0,208.735045,69.57835,0,0,0,3,30,Civic,Ethos
12,0x00eb6f5199cd0b671da371969b1a0f948e982fea,1,0,1460.98,34968.12,1,22,0,15,1,0.051,8.99,1.456564,29.535269,29.535269,29.535269,0,0,0,23,29.53526877,32.04440777,0,2.509139,3,100.337,0,0,0,3,0,3,0,0,0,0,0,99,33.445667,0,0,0,0,0,0,0,3, ,Blockwell say NOTSAFU
13,0x011da0ab16577cbb73374a5b9b869d66253150e7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.337,0,0,0,2,0,2,0,0,0,0,0,1.337,0.6685,0,0,0,0,0,0,0,2, ,Blockwell say NOTSAFU
14,0x0153775362c3071c1860e8dbfd53ccc82fa226f5,1,0,0,15432.58,1,1,0,1,1,1,1,1,0.999538,0.999538,0.999538,0,0,0,2,0.999538,1,0,0.000462,,,,,,,,,,,,,,,,,,,,,,,,,
15,0x015f17e2851ea392351b7f259e4cfd03dc443cef,1,0,0,0,0,1,0,1,0,0.00154,0.00154,0.00154,0,0,0,0,0,0,1,0,0.00154,0,0.00154,,,,,,,,,,,,,,,,,,,,,,,,,
16,0x015fca1d09287823e634ae51237ee1eeff03d9d5,1,0,5065.38,15991.88,1,3,0,3,1,0.00006,0.6771,0.258731,0.775651,0.775651,0.775651,0,0,0,4,0.775651,0.776194,0,0.000543,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
17,0x0167409e6106ec3e3f05a09fcf04606918d21ad5,1,259.52,2.6,4417.03,17,2,5,2,6,0.003349,0.07,0.036675,0,0.044494,0.003218,0,0,0,24,0.054713631,0.073349,0,0.01863537,,,,,,,,,,,,,,,,,,,,,,,,,
